Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
Java,CVE-2025-48734,commons-beanutils:commons-beanutils,1.9.4,1.11.0,HIGH,commons-beanutils: Apache Commons BeanUtils: PropertyUtilsBean does not suppresses an enum's declaredClass property by default,https://avd.aquasec.com/nvd/cve-2025-48734
Java,CVE-2025-48976,commons-fileupload:commons-fileupload,1.5,1.6.0,HIGH,apache-commons-fileupload: Apache Commons FileUpload DoS via part headers,https://avd.aquasec.com/nvd/cve-2025-48976
Java,CVE-2025-55163,io.netty:netty-codec-http2,4.1.110.Final,"4.2.4.Final, 4.1.124.Final",HIGH,netty: netty-codec-http2: Netty MadeYouReset HTTP/2 DDoS Vulnerability,https://avd.aquasec.com/nvd/cve-2025-55163
Java,CVE-2025-24970,io.netty:netty-handler,4.1.110.Final,4.1.118.Final,HIGH,io.netty:netty-handler: SslHandler doesn't correctly validate packets which can lead to native crash when using native SSLEngine,https://avd.aquasec.com/nvd/cve-2025-24970
Java,CVE-2025-24970,io.netty:netty-handler,4.1.110.Final,4.1.118.Final,HIGH,io.netty:netty-handler: SslHandler doesn't correctly validate packets which can lead to native crash when using native SSLEngine,https://avd.aquasec.com/nvd/cve-2025-24970
Java,CVE-2024-57699,net.minidev:json-smart,2.5.0,2.5.2,HIGH,json-smart: Potential DoS via stack exhaustion (incomplete fix for CVE-2023-1370),https://avd.aquasec.com/nvd/cve-2024-57699
Java,CVE-2025-24813,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.3, 10.1.35, 9.0.99",CRITICAL,tomcat: Potential RCE and/or information disclosure and/or information corruption with partial PUT,https://avd.aquasec.com/nvd/cve-2025-24813
Java,CVE-2024-50379,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.2, 10.1.34, 9.0.98",HIGH,tomcat: RCE due to TOCTOU issue in JSP compilation,https://avd.aquasec.com/nvd/cve-2024-50379
Java,CVE-2024-56337,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.2, 10.1.34, 9.0.98",HIGH,tomcat: Incomplete fix for CVE-2024-50379 - RCE due to TOCTOU issue in JSP compilation,https://avd.aquasec.com/nvd/cve-2024-56337
Java,CVE-2025-48988,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.8, 10.1.42, 9.0.106",HIGH,tomcat: Apache Tomcat DoS in multipart upload,https://avd.aquasec.com/nvd/cve-2025-48988
Java,CVE-2025-48989,org.apache.tomcat.embed:tomcat-embed-core,9.0.90,"11.0.10, 10.1.44, 9.0.108",HIGH,"tomcat: http/2 ""MadeYouReset"" DoS attack through HTTP/2 control frames",https://avd.aquasec.com/nvd/cve-2025-48989
Java,CVE-2024-51504,org.apache.zookeeper:zookeeper,3.9.2,3.9.3,HIGH,org.apache.zookeeper: Apache ZooKeeper: Authentication bypass with IP-based authentication in Admin Server,https://avd.aquasec.com/nvd/cve-2024-51504
Java,CVE-2025-5115,org.eclipse.jetty.http2:http2-common,10.0.20,"9.4.58, 10.0.26, 11.0.26",HIGH,"jetty: HTTP/2 (including DNS over HTTPS) contains a design flaw and is vulnerable to ""MadeYouReset"" DoS attack through HTTP/2 control frames",https://avd.aquasec.com/nvd/cve-2025-5115
Java,CVE-2025-22235,org.springframework.boot:spring-boot,2.7.18,"3.3.11, 3.4.5",HIGH,org.springframework.boot/spring-boot: Spring Boot EndpointRequest.to() creates wrong matcher if actuator endpoint is not exposed,https://avd.aquasec.com/nvd/cve-2025-22235
Java,CVE-2025-22228,org.springframework.security:spring-security-crypto,5.8.14,"6.3.8, 6.4.4, 6.2.10, 6.1.14, 6.0.16, 5.8.18, 5.7.16",HIGH,spring-security-core: Spring Security BCryptPasswordEncoder does not enforce maximum password length,https://avd.aquasec.com/nvd/cve-2025-22228
Java,CVE-2024-38821,org.springframework.security:spring-security-web,5.8.14,"5.7.13, 5.8.15, 6.2.7, 6.0.13, 6.1.11, 6.3.4",CRITICAL,Spring-WebFlux: Authorization Bypass of Static Resources in WebFlux Applications,https://avd.aquasec.com/nvd/cve-2024-38821
Java,CVE-2024-38816,org.springframework:spring-webmvc,5.3.39,6.1.13,HIGH,spring-webmvc: Path Traversal Vulnerability in Spring Applications Using RouterFunctions and FileSystemResource,https://avd.aquasec.com/nvd/cve-2024-38816
Java,CVE-2024-38819,org.springframework:spring-webmvc,5.3.39,6.1.14,HIGH,org.springframework:spring-webmvc: Path traversal vulnerability in functional web frameworks,https://avd.aquasec.com/nvd/cve-2024-38819
