Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2025-0840,binutils,2.41-r0,2.41-r1,HIGH,binutils: GNU Binutils objdump.c disassemble_bytes stack-based overflow,https://avd.aquasec.com/nvd/cve-2025-0840
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2025-46334,git,2.43.6-r0,2.43.7-r0,HIGH,N/A,https://avd.aquasec.com/nvd/cve-2025-46334
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2025-48384,git,2.43.6-r0,2.43.7-r0,HIGH,git: Git arbitrary code execution,https://avd.aquasec.com/nvd/cve-2025-48384
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2025-48385,git,2.43.6-r0,2.43.7-r0,HIGH,git: Git arbitrary file writes,https://avd.aquasec.com/nvd/cve-2025-48385
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2025-5222,icu-data-en,74.1-r0,74.1-r1,HIGH,icu: Stack buffer overflow in the SRBRoot::addTag function,https://avd.aquasec.com/nvd/cve-2025-5222
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2025-5222,icu-libs,74.1-r0,74.1-r1,HIGH,icu: Stack buffer overflow in the SRBRoot::addTag function,https://avd.aquasec.com/nvd/cve-2025-5222
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2024-45491,libexpat,2.6.2-r0,2.6.3-r0,CRITICAL,libexpat: Integer Overflow or Wraparound,https://avd.aquasec.com/nvd/cve-2024-45491
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2024-45492,libexpat,2.6.2-r0,2.6.3-r0,CRITICAL,libexpat: integer overflow,https://avd.aquasec.com/nvd/cve-2024-45492
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2024-45490,libexpat,2.6.2-r0,2.6.3-r0,HIGH,libexpat: Negative Length Parsing Vulnerability in libexpat,https://avd.aquasec.com/nvd/cve-2024-45490
fairdatasystems/yrml:2025-09-08 (alpine 3.19.1),CVE-2024-8176,libexpat,2.6.2-r0,2.7.0-r0,HIGH,libexpat: expat: Improper Restriction of XML Entity Expansion Depth in libexpat,https://avd.aquasec.com/nvd/cve-2024-8176
Java,CVE-2023-6378,ch.qos.logback:logback-classic,1.2.11,"1.3.12, 1.4.12, 1.2.13",HIGH,logback: serialization vulnerability in logback receiver,https://avd.aquasec.com/nvd/cve-2023-6378
Java,CVE-2023-6378,ch.qos.logback:logback-core,1.2.11,"1.3.12, 1.4.12, 1.2.13",HIGH,logback: serialization vulnerability in logback receiver,https://avd.aquasec.com/nvd/cve-2023-6378
Java,CVE-2025-52999,com.fasterxml.jackson.core:jackson-core,2.13.2,2.15.0,HIGH,com.fasterxml.jackson.core/jackson-core: jackson-core Potential StackoverflowError,https://avd.aquasec.com/nvd/cve-2025-52999
Java,CVE-2022-42003,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,"2.12.7.1, 2.13.4.2",HIGH,jackson-databind: deep wrapper array nesting wrt UNWRAP_SINGLE_VALUE_ARRAYS,https://avd.aquasec.com/nvd/cve-2022-42003
Java,CVE-2022-42004,com.fasterxml.jackson.core:jackson-databind,2.13.2.2,"2.12.7.1, 2.13.4",HIGH,jackson-databind: use of deeply nested arrays,https://avd.aquasec.com/nvd/cve-2022-42004
Java,CVE-2024-7254,com.google.protobuf:protobuf-java,4.26.1,"3.25.5, 4.27.5, 4.28.2",HIGH,protobuf: StackOverflow vulnerability in Protocol Buffers,https://avd.aquasec.com/nvd/cve-2024-7254
Java,CVE-2022-40151,com.thoughtworks.xstream:xstream,1.4.19,1.4.20,HIGH,xstream: Xstream to serialise XML data was vulnerable to Denial of Service attacks,https://avd.aquasec.com/nvd/cve-2022-40151
Java,CVE-2022-41966,com.thoughtworks.xstream:xstream,1.4.19,1.4.20,HIGH,xstream: Denial of Service by injecting recursive collections or maps based on element's hash values raising a stack overflow,https://avd.aquasec.com/nvd/cve-2022-41966
Java,CVE-2024-47072,com.thoughtworks.xstream:xstream,1.4.19,1.4.21,HIGH,com.thoughtworks.xstream: XStream is vulnerable to a Denial of Service attack due to stack overflow from a manipulated binary input stream,https://avd.aquasec.com/nvd/cve-2024-47072
Java,CVE-2025-48734,commons-beanutils:commons-beanutils,1.9.4,1.11.0,HIGH,commons-beanutils: Apache Commons BeanUtils: PropertyUtilsBean does not suppresses an enum's declaredClass property by default,https://avd.aquasec.com/nvd/cve-2025-48734
